tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'2049916185408647249',🇺🇸🇺🇸,art,Tweet,1992,79389,10311,3863,15975065,2026-04-30 14:17:58,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2049890763987968052',"RT @undefined: Today we’re announcing the full rebuild of our advertising platform, the most ambitious in X’s 20-year history. This is classic X and xAI: bold, fast, and built for advertisers. I’m incredibly proud of our engineering team and everyone at X who made this happen. We designed the new ad stack from the ground up for rapid innovation - expect continuous improvements, powerful new features, greater flexibility and better performance. We look forward to working closely with our partners as we roll out this next-generation platform!",en,Retweet,134,2129,600,223,556563,2026-04-30 12:36:57,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2049866769180053558',Major upgrade to 𝕏 advertising,en,Tweet,3606,27103,4289,3887,21438877,2026-04-30 11:01:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2049901250700038533',Launching on May 5,en,Reply,109,2693,693,576,427222,2026-04-30 13:18:38,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2049738880577056885',"RT @undefined: Just uploaded my Apple Watch data straight into Grok… and it was insanely good

Grok gave me a full, detailed analysis of everything - heart rate trends, sleep stages, activity patterns, recovery scores, the works

It analyzed everything deeply and confirmed no red flags. Even explained my lower heart rate during sleep as completely normal given my workout routine

Grok gave me one of the most detailed and reassuring health analyses I’ve ever seen

This is legitimately one of the most useful AI experiences I’ve had

Highly recommend you try it..",en,Retweet,391,2945,727,462,586945,2026-04-30 02:33:26,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/HHIhy49aAAAV3qH.jpg
'2049549273231179809',"RT @undefined: Big Balls explains what working with Elon Musk taught him.

""You've gotta do what you think is right. That's the biggest thing about Elon.""

""I think if I was to distill the Elon mindset into one thing, it would be truthmaxxing.""

https://t.co/UPR6QllDng",en,Retweet,868,13623,1983,391,799140,2026-04-29 14:00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/2040074229488730112/vid/avc1/1920x1080/82kfP8WMS2mypT-Z.mp4?tag=21
'2049581194887504154',RT @undefined: Falcon Heavy launches the @viasat-3 F3 mission to orbit from Florida https://t.co/InhpZOjPMg,en,Retweet,464,11397,1976,521,784043,2026-04-29 16:06:50,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/HHGTAdxbIAAuXUe.jpg,https://pbs.twimg.com/media/HHGTFZvbYAA92Aj.jpg,https://pbs.twimg.com/media/HHGTJ0DbIAAeOT4.jpg,https://pbs.twimg.com/media/HHGTJz3WIAA54_w.jpg"
'2049856330727338030',"RT @undefined: The Tesla Model X was the fastest-selling used vehicle in the U.S. in March 2026, according to a new study by iSeeCars.

On average, it found a buyer in 26 days, compared to the typical car, which usually lingers on the market for about two months.

Other Tesla models are also selling faster than most used cars. The figure for the Model Y is 35 days. The figure for the Model S is 35 days.",en,Retweet,125,3535,738,276,496092,2026-04-30 10:20:08,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/HHKMvSBWgAAt74W.jpg,https://pbs.twimg.com/media/HHKNZEiWsAA4YN1.jpg"
'2049870724744229066',@C_3C_3 True,en,Reply,202,33209,1034,776,356721,2026-04-30 11:17:20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2049866769180053558',Major upgrade to 𝕏 advertising,en,Tweet,3606,27103,4289,3887,21438877,2026-04-30 11:01:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2049725955208622475',"RT @undefined: Grok Imagine Agent Mode (Beta) just went live on Grok web

It’s a full creative agent working on one infinite open canvas

Grok Agent plans → generates → edits → iterates everything automatically in the same workspace

Tell it what you want and watch it plan, generate, edit, and iterate everything in one seamless workspace:
• 🎬 “Generate a 1-minute cinematic film” 
•  📚 “Create a complete manga set” 
•  🛍️ “Build UGC product stories”

This is the real leap from simple prompts to end-to-end creative production

This is the biggest upgrade to Grok Imagine yet",en,Retweet,752,3930,982,677,760550,2026-04-30 01:42:04,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/2049724062725963776/vid/avc1/1546x1310/3-ORfwb67bvwTTmQ.mp4?tag=21
'2049759063681184128',𝕏,qst,Tweet,1591,97295,10457,6412,20566756,2026-04-30 03:53:38,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2049757179662807307',@beffjezos Might actually happen,en,Reply,117,10448,324,696,149463,2026-04-30 03:46:08,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2049757086591103140',@edwards345 lol,und,Reply,22,1360,87,188,46130,2026-04-30 03:45:46,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2049756754058342448',Congrats to the @SpaceX Falcon Team!,en,Tweet,69,3488,934,731,502878,2026-04-30 03:44:27,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2049729777251275130',@teslaownersSV @tesla_semi Should we give Billy G a Semi? 😉,en,Reply,60,3408,214,767,142504,2026-04-30 01:57:15,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2049579474753409526',RT @undefined: A thousand little conveniences add up to a seamless experience,en,Retweet,258,10171,1654,741,1394524,2026-04-29 16:00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2049590842302857675',RT @undefined: First Semi off high volume line https://t.co/fI1AdQrJFH,en,Retweet,600,22074,2977,1020,1847664,2026-04-29 16:45:11,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/HHGcAYSaAAALllB.jpg
'2049503262488019039',This is how an economy actually works,en,Tweet,18337,128327,18179,5555,74745557,2026-04-29 10:57:10,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2049502224246874217',@DrewPavlou @HestonRussell @karlstefanovic wtf,und,Reply,50,5899,255,351,211196,2026-04-29 10:53:02,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2049237775355183420',"RT @undefined: The beauty of @cybertruck is that it’s a robotaxi and joy machine in one
 
Handles traffic for hundreds of miles without me touching the wheel

But when I want to send it in the desert, offroad mode is just one tap away https://t.co/n2OQrzzOub",en,Retweet,124,5457,1458,604,781732,2026-04-28 17:22:13,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/HHBa5MZbsAAVXn1.jpg
'2049499188053135869',@Pro__Trading @Jesse_Leg @ManhattanInst Crazy,en,Reply,14,731,59,141,21272,2026-04-29 10:40:58,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2049499083908554810',@Jesse_Leg @ManhattanInst Wow,und,Reply,19,1417,126,189,59884,2026-04-29 10:40:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2049498605552345180',Raptor 3 is engineering art,en,Tweet,3622,88121,10164,3775,24156727,2026-04-29 10:38:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2049496914757095844',Falcon Heavy landing,en,Tweet,3390,103670,13188,4608,38586817,2026-04-29 10:31:56,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2049493319965626445',RT @undefined: Side boosters separate from Falcon Heavy https://t.co/iz6g7AONN3,en,Retweet,366,13158,2224,489,1111749,2026-04-29 10:17:39,"<a href=""https://www.twitter.com/"" rel=""nofollow"">Twitter Media Studio - LiveCut</a>",,,video,https://video.twimg.com/amplify_video/2049493123454111744/vid/avc1/3840x2160/LyyZ668StmIvrFxO.mp4?tag=21
'2049481450362466744',Falcon Heavy,en,Tweet,1524,82535,11843,4071,18262564,2026-04-29 09:30:29,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2049367366824305013',"RT @undefined: Elon Musk on AI during the OpenAI trial:

""It (AI) could make us more prosperous, but it could also kill us all. We want to be in a Gene Roddenberry movie, like Star Trek, not so much a James Cameron movie, like Terminator.

He then elaborated by comparing AI training to almost like raising a child: 

""It’s like if you had a very smart child — at the end of the day when the child grows up, you can’t really control that child, but you can try to instill the right values. Honesty, integrity, caring about humanity —being good, essentially.""",en,Retweet,583,8939,2379,1198,842036,2026-04-29 01:57:10,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/HHDQwlPbsAA-JkH.jpg
'2049397712022540605',@OneBadDude_ 😂,qme,Reply,54,13963,306,332,221378,2026-04-29 03:57:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2049369264914903143',RT @undefined: Full circle moment: paying for @Starlink with @XMoney 🤝 https://t.co/M1HurnTC2u,en,Retweet,114,3742,960,281,742082,2026-04-29 02:04:42,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/HHDSfJUa4AAwkam.jpg
'2049397574764052495',@bilalfarooqui 😂,qme,Reply,63,6510,181,241,173157,2026-04-29 03:57:12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2049372990870290940',Cybertruck,en,Tweet,1069,36387,4994,3100,44861687,2026-04-29 02:19:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2049372702235136447',@CARN0N Optimus 3 is special,en,Reply,134,9067,553,647,294119,2026-04-29 02:18:22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2049372017854701682',"@beffjezos That’s a good deal if we make anywhere near K2. 

Won’t be using dollars for currency at that point, just mass and energy.",en,Reply,265,6716,398,620,376683,2026-04-29 02:15:39,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2049371391842308188',@MobofJoggers This is what happens if you wear headphones all the way to Oakland after taking a shower 🤣🤣,en,Reply,446,47806,1053,1908,722482,2026-04-29 02:13:09,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2049370112982143309',@wil_da_beast630 😂,qme,Reply,21,526,53,79,23003,2026-04-29 02:08:05,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2049369911081013541',@AutismCapital 😂,qme,Reply,52,4612,211,487,216069,2026-04-29 02:07:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2049369680528429076',@libsoftiktok Insane,tr,Reply,18,4543,168,187,88339,2026-04-29 02:06:21,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2049369485459832951',Congrats!,en,Tweet,3233,212278,14902,6611,64694844,2026-04-29 02:05:35,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2049150833422647689',RT @undefined: Actually Smart Summon now reacts a lot faster,en,Retweet,266,7432,1642,642,1415526,2026-04-28 11:36:44,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2049332159601942995',"RT @undefined: The exact same question to Grok 4.3, GPT 5.5, and Claude Opus 4.7:

“Count to 10 starting from 11”

Grok 4.3 wins 🏆
Every single time

It gave 11, 10 and explained why going backwards was the only logical move... The others started counting from 11 to 20

Grok’s logical reasoning is at a level most models still can’t even touch",en,Retweet,183,3290,1055,413,651386,2026-04-28 23:37:16,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/HHAN7F0boAAvdon.jpg
'2049368739695775875',@libsoftiktok !,qam,Reply,21,2988,119,180,79439,2026-04-29 02:02:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2049283488600277368',"RT @undefined: Ookla says @Starlink has been a game-changer for inflight Wi-Fi speeds. Their new report ranks which airline has the fastest Wi-Fi:

""Starlink stood out for its speed. Of over 50 airlines evaluated, the eight airlines that exceeded 100 Mbps median download speed and half of those clocking over 300 Mbps in 2H 2025 were served by Starlink. No other IFC provider approached triple-digit speeds. Conversely, no airline with Starlink was below 100 Mbps median download speed.

The consistency and download speed performance results of Starlink’s IFC are game changing. Sometimes when wireless networks experience rapid growth, the increased number of users and larger volume of data traffic can result in slower speeds for everyone. This has not been the case for Starlink.""

It's pretty clear at this point that airlines not adopting Starlink are going to be at a pretty big disadvantage compared with the airlines that do. In some cases, we're already seeing passengers specifically searching for flights with Starlink Wi-Fi.",en,Retweet,123,3059,996,163,630001,2026-04-28 20:23:52,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/HHCCZ78bcAAW1bs.jpg
'2049279898976702535',RT @undefined: Super high bandwidth to commercial aircraft with @Starlink,en,Retweet,116,4251,1055,321,3777270,2026-04-28 20:09:36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2049306669352358192',"RT @undefined: #BREAKING: Chairman @Jim_Jordan invites Southern Poverty Law Center Interim CEO and President Bryan Fair to testify publicly on Wednesday, May 20, 2026, at 10:00 a.m. https://t.co/7XdtBHwmLb",en,Retweet,131,4346,1221,313,666489,2026-04-28 21:55:58,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#BREAKING,,photo,"https://pbs.twimg.com/media/HHCRhYHbsAAR4tY.jpg,https://pbs.twimg.com/media/HHCRhXyaEAEq4o-.jpg"
'2049296822162874685',"RT @undefined: Following future rollout of FSD V14 Lite for HW3 vehicles in the US, we plan on expanding V14 Lite to additional international markets.

This update ensures that HW3 vehicle owners will continue to benefit from ongoing software updates.

Since international rollout is subject to several factors (completion of technical verification, regional adaptation & relevant regulatory approvals), we can't provide definitive dates at the moment, but will provide updates on a rolling basis",en,Retweet,668,12238,2121,967,1811293,2026-04-28 21:16:51,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2049272500694257982',@yacineMTB 💯😂,qme,Reply,112,13352,290,415,269844,2026-04-28 19:40:12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2049271469511962713',@thackerpd @hkakeya @P_McCulloughMD @RWMaloneMD @Tyler_A_Harper @VBruttel @nicksortor @SharylAttkisson @jsolomonReports Wow,und,Reply,114,6087,421,389,124870,2026-04-28 19:36:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2049259466973933764',"RT @undefined: The California Coastal Commission has issued a formal apology to @elonmusk and SpaceX, adding that it will not consider political views or speech in future regulatory decisions.

• The Commission admits some officials made politically biased and improper statements about SpaceX and Elon Musk
• It formally apologizes for those remarks
• Agrees it will not consider political views or speech in future regulatory decisions
• The Commission will NOT require coastal permits for most launch operations at Vandenberg

Full statement: ""The Commission agrees that it may not consider irrelevant factors in performing its function and specifically agrees that it will not take into account the perceived political beliefs, political speech, or labor practices of SpaceX or its officers in considering any regulatory action concerning SpaceX. The Commission acknowledges that Commissioners made statements, including during their October 10, 2024, hearing on the Base’s Falcon 9 launch program, that showed political bias against SpaceX and its CEO and were improper. The Commission apologizes for those statements, as set forth in the signed letter attached as Exhibit C.""

This filing means that SpaceX and the California Coastal Commission have reached a settlement in their federal lawsuit, and it provides long-term regulatory clarity for SpaceX for future Falcon 9 launches.",en,Retweet,1405,20200,3811,1159,1309107,2026-04-28 18:48:24,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/HHBsykxbwAArB6j.jpg,https://pbs.twimg.com/media/HHBuSR6WMAAGyKe.jpg"
'2049241773973918180',@WomanDefiner Wow,und,Reply,270,15305,757,443,351929,2026-04-28 17:38:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2049151577597112419',"RT @undefined: Integrating Starlink with @TMobile’s 5G network will provide reliable, high-speed broadband for millions of businesses, including those in rural and remote locations across the country 🛰️❤️",en,Retweet,169,4842,1232,518,1348915,2026-04-28 11:39:42,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2049012394920460764',@Alt_Azn 💯,qme,Reply,47,6969,268,293,202608,2026-04-28 02:26:38,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2048985482709676382',"RT @undefined: South Korean reporter after experiencing @Tesla FSD (Supervised) in the country for the first time:

""It flawlessly performed all tasks, including obeying traffic signals, staying in lanes, adhering to speed limits, merging, and changing directions. I felt no anxiety or frustration.

Tesla’s FSD capabilities surpassed expectations. Even in heavily congested urban roads, no human intervention was needed. While driving in the right lane on a four-lane road, the vehicle smoothly merged into the left lane when it detected a parked delivery truck ahead. After passing the truck, it returned to the right lane. When making a right turn, it stopped precisely at the crosswalk. It felt as though the vehicle followed traffic laws more accurately than humans.""",en,Retweet,161,6749,1712,495,1105349,2026-04-28 00:39:42,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/HG91GsmaoAAtv91.jpg
'2049011600359936136',@AustinJustice Imprisoning murderous psychopaths works,en,Reply,98,14945,859,530,190602,2026-04-28 02:23:28,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2049010754012209457',💯,art,Tweet,7105,147707,30873,5816,29962392,2026-04-28 02:20:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2048967507432681518',"RT @undefined: 🇺🇸 Another deranged liberal openly disappointed Trump wasn’t assassinated.

These people are actually upset he survived. What the hell is wrong with them? 

https://t.co/93tiBOkDBX",en,Retweet,287,7305,2186,1001,1549356,2026-04-27 23:28:16,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/ext_tw_video/2048809576427081728/pu/vid/avc1/730x720/dr_Uw7rlbS1Xezsx.mp4?tag=19
'2049009933757354116',@JamesOKeefeIII @thackerpd 😂,qme,Reply,61,4895,199,245,251340,2026-04-28 02:16:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2048980534370410757',"RT @undefined: Let me get this straight:

> the top 1% earners in CA pay a cumulative $40-$50b/yr in income tax 

> yet CA Medicaid alone loses $50b/yr in fraud

So, you can work your whole life to be incredibly successful, and bureaucrats in CA will redistribute it to fraudsters

The Bolscheviks working to pass an asset seizure cannot be trusted.",en,Retweet,919,13204,3452,425,1418805,2026-04-28 00:20:02,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/HG9rwuQaoAA3J0t.jpg
'2048992619926106526',"RT @undefined: To those who pit Sam Altman and Elon Musk against each other like a billionaire feud, look, do your own research. 

When have you ever seen Elon Musk use his money to buy a yacht, a paradise island, or engage in extravagant spending? 
Even the money from this lawsuit, if he wins, will be donated to charity.

 On the other hand, why did Sam Altman change the bylaws of OpenAI, which was a non-profit organization? Why is everything opaque at OpenAI? Who benefits from the money? 

To all the skeptics, do your own research. I have no doubt about your conclusions if you seek the truth. 

On one side, there is a man who dedicates his life to the well-being of humanity, and on the other, a man who seeks profit, even at the risk of endangering humanity.

Elon Musk must win.",en,Retweet,388,10951,2092,737,846609,2026-04-28 01:08:03,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,
'2048999991516209234',@smalls2672 !!,qam,Reply,35,2112,146,288,122577,2026-04-28 01:37:21,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2048985401776623728',@stevenmarkryan 💯,qme,Reply,52,2461,166,341,546542,2026-04-28 00:39:22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2048930958502482277',"RT @undefined: Best ad for Grok imaginable.

""I can't manipulate this AI into lying to me."" https://t.co/Dc6nq9R2bc",en,Retweet,1339,22429,2098,641,1022950,2026-04-27 21:03:02,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,photo,https://pbs.twimg.com/media/HG9D2WMXwAEal28.jpg
'2048765165533868432',"RT @undefined: When I wrote The New White Nationalism in America in 2002, there were roughly 2,000 KKK members left in the entire nation — and a large percentage were suspected paid informants.

Real hate groups were so sparse that the Southern Poverty Law Center was being openly accused of inflating numbers to scare Holocaust survivors and other donors. Their annual “hate map” literally required them to invent new threats every year just to keep the fundraising machine running.

Back then, a “white supremacist” actually meant someone who believed their own race was superior to others.

Then came the Obama administration’s tight collaboration with the SPLC — and everything changed. Suddenly all whites could be branded “privileged racists” by default.
My book warned that identity politics, racial grievance culture, and the suppression of honest debate would breed exactly this kind of backlash and division. It was a call for genuine integration and color-blind justice instead.

Ignored then. More relevant than ever now — especially after the SPLC’s recent federal fraud indictment for allegedly paying millions to informants inside the very extremist groups it claims to oppose.
Read the prescient warning here:
https://t.co/dH5tTpBZZa
(Full book available on Amazon/Cambridge University Press)
#SPLCFraud #SPLCIndicted #SPLCExposed #HateMap #HateForProfit",en,Retweet,724,7087,2419,268,707340,2026-04-27 10:04:14,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2048900774025986532',"RT @undefined: All three of the liberal justices dissented from the order allowing Texas to use their new congressional map.

But these same justices all voted with a unanimous court back in February to allow California to use its new maps.

The three liberal justices are simply progressive activists wearing black robes.",en,Retweet,865,20300,4699,539,1819031,2026-04-27 19:03:05,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2048932721553191327',@AuronMacintyre Yup,und,Reply,39,2123,88,215,103187,2026-04-27 21:10:02,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
